,Product Position,Promotion,Sales Volume,Name,Price,Terms,Section,Season,Material,Origin,revenue
4009,End-cap,True,777,HIGH-WAIST REVERSIBLE PLAID OVERSHIRT TAUPE,777.0,t-shirts,MAN,Spring,Cotton,Morocco,603729.0
4010,Aisle,True,1205,TAILORED WOVEN LEATHER SLIDES ECRU,1205.0,jackets,WOMAN,Autumn,Polyester,China,1452025.0
4011,Front of Store,True,1406,QUILTED WAXED EFFECT PLAID JACKET BROWN,1406.0,jackets,WOMAN,Spring,Polyester,Turkey,1976836.0
4012,Aisle,True,1573,RELAXED CASHMERE BLEND KNIT SWEATER BLACK,1573.0,sweaters,WOMAN,Autumn,Wool Blend,Brazil,2474329.0
4013,Aisle,True,1483,TEXTURED GEOMETRIC JACQUARD OVERSHIRT OLIVE,1483.0,shoes,WOMAN,Winter,Polyester,Morocco,2199289.0
4014,Aisle,True,657,RIBBED ZIPPERED WOOL BLEND OVERSHIRT IVORY,657.0,jackets,MAN,Autumn,Wool,Bangladesh,431649.0
4015,Front of Store,True,1716,RAISED TEXT T-SHIRT LIMITED EDITION GREY,1716.0,sweaters,WOMAN,Summer,Linen,Vietnam,2944656.0
4016,Front of Store,True,1403,BASIC 100% WOOL SWEATER NAVY,1403.0,jackets,WOMAN,Autumn,Wool,Bangladesh,1968409.0
4017,Aisle,True,908,HIGH-WAIST HOODED TECHNICAL JACKET IVORY,908.0,shoes,MAN,Winter,Cotton,Turkey,824464.0
4018,End-cap,True,813,STRUCTURED SEMI-SHEER KNIT SHIRT LIMITED EDITION,813.0,jackets,WOMAN,Autumn,Wool Blend,Bangladesh,660969.0
4019,End-cap,True,725,PLEATED EMBROIDERED FOREST JACKET BURGUNDY,725.0,shoes,MAN,Autumn,Viscose,Spain,525625.0
4020,Front of Store,True,1424,QUILTED TECHNICAL OVERSHIRT SKY BLUE,1424.0,shoes,MAN,Winter,Wool Blend,Morocco,2027776.0
4021,Front of Store,True,1726,SUEDE JACKET IVORY,1726.0,jackets,WOMAN,Winter,Wool,Brazil,2979076.0
4022,Front of Store,True,1087,SLIM EMBROIDERED PATCH JACKET ECRU,1087.0,jackets,WOMAN,Summer,Linen,China,1181569.0
4023,Aisle,True,880,BASIC FOIL KNIT SWEATER CHARCOAL,880.0,jackets,WOMAN,Autumn,Wool Blend,Morocco,774400.0
4024,Aisle,True,1168,DOUBLE-BREASTED OVERSIZED CROPPED JACKET LIMITED EDITION,1168.0,sweaters,MAN,Autumn,Polyester,Turkey,1364224.0
4025,Aisle,True,831,QUILTED BOXY FIT DENIM JACKET NAVY,831.0,t-shirts,MAN,Winter,Acrylic,Spain,690561.0
4026,End-cap,True,1369,100% WOOL SUIT JACKET ECRU,1369.0,shoes,MAN,Autumn,Wool Blend,Brazil,1874161.0
4027,Aisle,True,1521,QUILTED BASIC HEAVYWEIGHT T-SHIRT BEIGE,1521.0,jackets,MAN,Summer,Linen,India,2313441.0
4028,Front of Store,True,825,BRAIDED COLOR BLOCK SWEATER OLIVE,825.0,sweaters,WOMAN,Autumn,Polyester,Bangladesh,680625.0
4029,Aisle,True,1266,PLEATED RIPPED DENIM JACKET TAUPE,1266.0,jackets,WOMAN,Autumn,Wool,Turkey,1602756.0
4030,End-cap,True,1194,KNIT SUIT JACKET CHARCOAL,1194.0,sweaters,MAN,Autumn,Acrylic,Brazil,1425636.0
4031,Front of Store,True,1405,TEXTURED FAUX SUEDE PATCH JACKET SAND,1405.0,t-shirts,WOMAN,Spring,Viscose,Morocco,1974025.0
4032,Aisle,True,1484,PLEATED MOCK NECK WOOL AND SILK BLEND KNIT TOP NAVY,1484.0,jackets,WOMAN,Autumn,Wool,China,2202256.0
4033,Aisle,True,1610,TAILORED RETRO SNEAKERS CHARCOAL,1610.0,jackets,WOMAN,Winter,Viscose,Brazil,2592100.0
4034,Aisle,True,670,SATIN ADHERENT STRIPES SNEAKERS,670.0,jackets,WOMAN,Winter,Denim,China,448900.0
4035,End-cap,True,796,TEXTURED WOVEN LEATHER SLIDES,796.0,jackets,WOMAN,Spring,Wool Blend,India,633616.0
4036,Aisle,True,810,SATIN ZIPPER MULTIPIECE SNEAKERS NAVY,810.0,jackets,MAN,Winter,Wool Blend,Bangladesh,656100.0
4037,Aisle,True,922,EMBROIDERED LEATHER JACKET BURGUNDY,922.0,sweaters,MAN,Winter,Polyester,Morocco,850084.0
4038,Aisle,True,823,LINEN LEATHER BIKER JACKET STONE,823.0,jackets,MAN,Summer,Linen,Cambodia,677329.0
4039,End-cap,True,883,QUILTED ZIPPERED JACKET,883.0,t-shirts,WOMAN,Autumn,Wool Blend,Morocco,779689.0
4040,Aisle,True,782,UTILITY JACQUARD DENIM JACKET BEIGE,782.0,jackets,WOMAN,Autumn,Denim,Turkey,611524.0
4041,End-cap,True,1087,UTILITY COTTON BLEND BOMBER JACKET BROWN,1087.0,jackets,MAN,Winter,Wool Blend,Bangladesh,1181569.0
4042,Front of Store,True,1460,RIBBED SUEDE HIGH-TOPS SAND,1460.0,jackets,WOMAN,Winter,Wool,Bangladesh,2131600.0
4043,Front of Store,True,982,STRIPED CROP KNIT SWEATER NAVY,982.0,jackets,WOMAN,Winter,Wool Blend,Bangladesh,964324.0
4044,Aisle,True,746,LINEN FLARED FIT CARGO JEANS CHARCOAL,746.0,jackets,MAN,Summer,Cotton,Bangladesh,556516.0
4045,Aisle,True,1439,CROPPED TOPSTITCH SNEAKERS BEIGE,1439.0,jeans,WOMAN,Spring,Linen,Spain,2070721.0
4046,Front of Store,True,965,HIGH-WAIST PRINTED CROPPED FIT SHIRT LIMITED EDITION CHARCOAL,965.0,jackets,WOMAN,Autumn,Cotton,Cambodia,931225.0
4047,Front of Store,True,1076,REGULAR ZIPPER MULTIPIECE SNEAKERS OLIVE,1076.0,shoes,MAN,Winter,Wool Blend,Spain,1157776.0
4048,Aisle,True,1311,STRETCH PADDED BOMBER JACKET TAUPE,1311.0,shoes,WOMAN,Autumn,Polyester,Turkey,1718721.0
4049,Aisle,True,909,LINEN FAUX SUEDE PATCH JACKET WHITE,909.0,sweaters,MAN,Spring,Cotton,Spain,826281.0
4050,End-cap,True,882,OVERSIZED CHUNKY SNEAKERS,882.0,jackets,WOMAN,Autumn,Cotton,China,777924.0
4051,Aisle,True,818,RIBBED TEXTURED JACKET OLIVE,818.0,jackets,WOMAN,Spring,Polyester,Bangladesh,669124.0
4052,Aisle,True,1657,ABSTRACT PRINT KNIT T-SHIRT KHAKI,1657.0,jackets,WOMAN,Summer,Linen,Turkey,2745649.0
4053,Aisle,True,1266,BELTED ABSTRACT JACQUARD SWEATER BURGUNDY,1266.0,jeans,MAN,Autumn,Wool Blend,Portugal,1602756.0
4054,Aisle,True,1499,ASYMMETRIC CROPPED KNIT SWEATER OLIVE,1499.0,jackets,WOMAN,Spring,Wool,India,2247001.0
4055,Aisle,True,861,BOMBER JACKET,861.0,sweaters,WOMAN,Spring,Cotton,India,741321.0
4056,Front of Store,True,1441,WOOL BLEND JACKET STONE,1441.0,jackets,WOMAN,Autumn,Acrylic,China,2076481.0
4057,Aisle,True,779,QUILTED BOMBER JACKET BEIGE,779.0,jackets,MAN,Autumn,Viscose,Bangladesh,606841.0
4058,End-cap,True,1099,SLIM CONTRAST SOLE LEATHER SNEAKERS BEIGE,1099.0,jeans,MAN,Autumn,Cotton,Bangladesh,1207801.0
4059,End-cap,True,1437,DOUBLE-BREASTED POCKET OVERSHIRT CHARCOAL,1437.0,jackets,WOMAN,Spring,Cotton,Portugal,2064969.0
4060,End-cap,True,823,RELAXED RIPPED STRAIGHT FIT JEANS,823.0,jackets,WOMAN,Spring,Denim,Cambodia,677329.0
4061,Front of Store,True,1640,SLIM FAUX LEATHER OVERSIZED JACKET LIMITED EDITION,1640.0,jackets,WOMAN,Summer,Linen,Bangladesh,2689600.0
4062,Aisle,True,822,STRUCTURED V-NECK KNIT SWEATER SKY BLUE,822.0,jackets,MAN,Winter,Wool,China,675684.0
4063,Front of Store,True,904,SATIN CASHMERE BLEND KNIT SWEATER SAND,904.0,jackets,MAN,Winter,Wool Blend,China,817216.0
4064,Front of Store,True,931,RELAXED BASIC 100% WOOL SWEATER ECRU,931.0,jackets,MAN,Autumn,Wool,Morocco,866761.0
4065,Aisle,True,844,ABSTRACT JACQUARD SWEATER WHITE,844.0,jackets,WOMAN,Autumn,Wool Blend,Bangladesh,712336.0
4066,Front of Store,True,785,CROPPED POCKET PUFFER JACKET OLIVE,785.0,sweaters,MAN,Autumn,Acrylic,China,616225.0
4067,Front of Store,True,897,CONTRAST JACQUARD JACKET NAVY,897.0,jackets,WOMAN,Autumn,Viscose,Turkey,804609.0
4068,End-cap,True,832,CROPPED TEXTURED JACKET OLIVE,832.0,jackets,MAN,Autumn,Polyester,Morocco,692224.0
4069,Aisle,True,1301,KNIT PADDED BOMBER JACKET GREY,1301.0,sweaters,MAN,Summer,Linen,Portugal,1692601.0
4070,Front of Store,True,862,HIGH-WAIST FAUX SHEARLING PLAID JACKET BEIGE,862.0,jackets,WOMAN,Autumn,Polyester,Vietnam,743044.0
4071,Front of Store,True,1263,BELTED ACID WASH DENIM JACKET IVORY,1263.0,jackets,WOMAN,Autumn,Cotton,Cambodia,1595169.0
4072,End-cap,True,1224,KNIT PURL KNIT SWEATER,1224.0,jackets,MAN,Autumn,Wool,India,1498176.0
4073,Front of Store,True,737,HOODED QUILTED JACKET GREY,737.0,jackets,WOMAN,Spring,Viscose,Turkey,543169.0
4074,End-cap,True,1330,KNIT FLEECE BOMBER JACKET BEIGE,1330.0,jackets,WOMAN,Autumn,Wool Blend,Bangladesh,1768900.0
4075,Front of Store,True,1310,PLEATED METAL BEAD KNIT SWEATER WHITE,1310.0,jeans,MAN,Summer,Cotton,India,1716100.0
4076,Aisle,True,1502,PLEATED FLEECE OVERSHIRT BEIGE,1502.0,jackets,WOMAN,Winter,Wool,Argentina,2256004.0
4077,End-cap,True,951,VINTAGE EFFECT LEATHER BOMBER JACKET NAVY,951.0,t-shirts,WOMAN,Spring,Viscose,Vietnam,904401.0
4078,End-cap,True,1478,TASSEL LEATHER LOAFERS SKY BLUE,1478.0,jackets,WOMAN,Spring,Polyester,Turkey,2184484.0
4079,End-cap,True,1010,DOUBLE-BREASTED STRETCH POCKET OVERSHIRT BEIGE,1010.0,jackets,WOMAN,Winter,Wool Blend,Morocco,1020100.0
4080,Front of Store,True,1039,STRETCH OVERSIZED KNIT SWEATER WHITE,1039.0,sweaters,WOMAN,Winter,Polyester,Portugal,1079521.0
4081,Aisle,True,704,CROPPED FAUX SUEDE JACKET SKY BLUE,704.0,sweaters,MAN,Spring,Polyester,China,495616.0
4082,Aisle,True,869,RIBBED STRIPED CROP KNIT SWEATER BLACK,869.0,shoes,WOMAN,Autumn,Acrylic,China,755161.0
4083,Aisle,True,1252,FAUX SUEDE PATCH JACKET ECRU,1252.0,sweaters,MAN,Spring,Cotton,Bangladesh,1567504.0
4084,End-cap,True,888,STRUCTURED ZIPPERED JACKET SKY BLUE,888.0,shoes,WOMAN,Spring,Polyester,Turkey,788544.0
4085,End-cap,True,877,RIBBED COLORBLOCK KNIT CROP SWEATER BURGUNDY,877.0,sweaters,MAN,Winter,Wool Blend,Portugal,769129.0
4086,Aisle,True,843,RELAXED MIXED COLLAR WAXED JACKET STONE,843.0,jackets,WOMAN,Spring,Cotton,Bangladesh,710649.0
4087,Aisle,True,770,STRUCTURED FAUX LEATHER PUFFER JACKET GREY,770.0,sweaters,MAN,Autumn,Wool Blend,China,592900.0
4088,End-cap,True,1498,EMBROIDERED OVERSIZED KNIT SWEATER SKY BLUE,1498.0,jackets,WOMAN,Summer,Linen,Brazil,2244004.0
4089,Aisle,True,714,REVERSIBLE PLAID OVERSHIRT BEIGE,714.0,shoes,WOMAN,Autumn,Wool,China,509796.0
4090,End-cap,True,1564,BELTED SUEDE RETRO SNEAKERS BEIGE,1564.0,jackets,WOMAN,Winter,Wool,Morocco,2446096.0
4091,Aisle,True,1593,BELTED HIGH COLLAR KNIT SWEATER KHAKI,1593.0,jackets,WOMAN,Summer,Cotton,Morocco,2537649.0
4092,Aisle,True,1329,UTILITY CONTRASTING COLLAR JACKET SKY BLUE,1329.0,sweaters,WOMAN,Spring,Polyester,Turkey,1766241.0
4093,End-cap,True,1017,BELTED SUIT JACKET IN 100% LINEN BLACK,1017.0,sweaters,WOMAN,Summer,Linen,India,1034289.0
4094,Aisle,True,1024,PADDED BOMBER JACKET STONE,1024.0,sweaters,MAN,Winter,Viscose,Cambodia,1048576.0
4095,End-cap,True,924,DENIM BOMBER JACKET CHARCOAL,924.0,sweaters,WOMAN,Winter,Wool,Spain,853776.0
4096,Aisle,True,1199,CROPPED COTTON - LINEN BLEND JACKET BLACK,1199.0,shoes,MAN,Spring,Linen Blend,Portugal,1437601.0
4097,Aisle,True,909,KNIT PAINT PRINT OVERSHIRT ECRU,909.0,t-shirts,MAN,Winter,Wool Blend,Pakistan,826281.0
4098,Front of Store,True,953,TAILORED DENIM SHIRT KHAKI,953.0,sweaters,WOMAN,Autumn,Denim,Morocco,908209.0
4099,End-cap,True,852,KNIT RIPPED STRAIGHT FIT JEANS BEIGE,852.0,jackets,WOMAN,Autumn,Wool,China,725904.0
4100,Aisle,True,704,REGULAR OVERSHIRT CHARCOAL,704.0,sweaters,WOMAN,Spring,Linen,Morocco,495616.0
4101,End-cap,True,1542,BASIC FOIL KNIT SWEATER BURGUNDY,1542.0,jackets,WOMAN,Winter,Wool,Brazil,2377764.0
4102,End-cap,True,740,STRETCH BAGGY FIT JEANS IVORY,740.0,jackets,MAN,Autumn,Denim,Bangladesh,547600.0
4103,Aisle,True,1844,CROPPED COLORBLOCK KNIT CROP SWEATER BROWN,1844.0,jackets,WOMAN,Summer,Wool Blend,Pakistan,3400336.0
4104,End-cap,True,1423,DOUBLE-BREASTED BOUCLE TEXTURED VEST BLACK,1423.0,shoes,MAN,Summer,Linen Blend,China,2024929.0
4105,Aisle,True,858,CONTRAST SOLE LEATHER SNEAKERS CHARCOAL,858.0,jackets,WOMAN,Autumn,Cotton,Turkey,736164.0
4106,Aisle,True,815,HIGH-WAIST FAUX SUEDE PATCH JACKET,815.0,t-shirts,MAN,Autumn,Polyester,Bangladesh,664225.0
4107,Front of Store,True,1730,CROPPED BOMBER JACKET LIMITED EDITION,1730.0,t-shirts,WOMAN,Summer,Polyester,China,2992900.0
4108,Aisle,True,954,LINEN SUEDE HIGH-TOPS STONE,954.0,jackets,WOMAN,Summer,Linen Blend,China,910116.0
4109,End-cap,True,781,SUEDE LACELESS SNEAKERS STONE,781.0,jackets,WOMAN,Autumn,Wool Blend,Spain,609961.0
4110,Front of Store,True,1295,STRUCTURED RAISED TEXT T-SHIRT LIMITED EDITION OLIVE,1295.0,jackets,WOMAN,Spring,Cotton,China,1677025.0
4111,Front of Store,True,775,SLIM MULTI-PIECED RETRO SNEAKERS IVORY,775.0,shoes,WOMAN,Autumn,Viscose,Brazil,600625.0
4112,Front of Store,True,969,STRETCH CONTRAST TOPSTITCHING CROP KNIT SWEATER,969.0,sweaters,WOMAN,Winter,Polyester,Spain,938961.0
4113,End-cap,True,900,RELAXED JACQUARD DENIM JACKET BEIGE,900.0,jackets,WOMAN,Autumn,Cotton,China,810000.0
4114,Aisle,True,962,REGULAR OVERSIZED KNIT SWEATER,962.0,jackets,WOMAN,Autumn,Wool,Pakistan,925444.0
4115,End-cap,True,929,KNIT MOC-TOE SUEDE BOOTS SAND,929.0,jackets,MAN,Winter,Polyester,China,863041.0
4116,End-cap,True,1522,STRETCH ADHERENT STRIPES SNEAKERS TAUPE,1522.0,shoes,MAN,Summer,Linen,Cambodia,2316484.0
4117,Front of Store,True,830,ALPACA BLEND OPEN KNIT SWEATER KHAKI,830.0,jackets,WOMAN,Autumn,Wool Blend,China,688900.0
4118,Aisle,True,1592,KNIT BOUCLÉ TEXTURED JACKET SKY BLUE,1592.0,t-shirts,WOMAN,Winter,Wool Blend,Bangladesh,2534464.0
4119,Front of Store,True,989,UTILITY FAUX LEATHER PUFFER JACKET STONE,989.0,jackets,MAN,Winter,Polyester,Bangladesh,978121.0
4120,End-cap,True,990,RIBBED CABLE KNIT METALLIC SWEATER SAND,990.0,t-shirts,WOMAN,Summer,Linen,Turkey,980100.0
4121,Aisle,True,851,SUEDE RUNNING SNEAKERS GREY,851.0,jeans,WOMAN,Autumn,Acrylic,Bangladesh,724201.0
4122,End-cap,True,866,BELTED QUILTED STRUCTURED OVERSHIRT OLIVE,866.0,jackets,WOMAN,Spring,Linen Blend,India,749956.0
4123,Front of Store,True,843,OVERSIZED CROPPED OVERSHIRT IVORY,843.0,t-shirts,WOMAN,Autumn,Polyester,Spain,710649.0
4124,End-cap,True,1472,TAILORED SUEDE RETRO SNEAKERS SAND,1472.0,jackets,MAN,Winter,Acrylic,India,2166784.0
4125,End-cap,True,957,BELTED ABSTRACT JACQUARD SWEATER WHITE,957.0,sweaters,WOMAN,Winter,Wool Blend,China,915849.0
4126,End-cap,True,761,KNIT CONTRASTING PATCHES BOMBER JACKET SAND,761.0,shoes,MAN,Autumn,Wool,China,579121.0
4127,Aisle,True,1528,DOUBLE-BREASTED TECHNICAL JACKET WITH POCKETS NAVY,1528.0,sweaters,WOMAN,Spring,Cotton,Morocco,2334784.0
4128,End-cap,True,550,STRUCTURED LEATHER JACKET ECRU,550.0,jackets,MAN,Autumn,Cotton,India,302500.0
4129,End-cap,True,925,KNIT SWEATER WITH RIPS,925.0,shoes,MAN,Winter,Wool Blend,Morocco,855625.0
4130,Aisle,True,810,CROPPED KNIT OPEN BACK PEARLY SWEATER,810.0,shoes,MAN,Winter,Wool,Bangladesh,656100.0
4131,Aisle,True,1429,UTILITY BASIC HEAVYWEIGHT T-SHIRT KHAKI,1429.0,jackets,WOMAN,Spring,Cotton,Spain,2042041.0
4132,End-cap,True,842,REGULAR V-NECK KNIT SWEATER BLACK,842.0,sweaters,WOMAN,Autumn,Wool Blend,India,708964.0
4133,Aisle,True,1225,TUXEDO JACKET,1225.0,shoes,MAN,Spring,Cotton,Cambodia,1500625.0
4134,End-cap,True,848,BELTED BAGGY FIT JEANS IVORY,848.0,jackets,WOMAN,Winter,Wool Blend,Cambodia,719104.0
4135,End-cap,True,1031,RELAXED VINTAGE EFFECT LEATHER BOMBER JACKET STONE,1031.0,jackets,WOMAN,Winter,Wool,Bangladesh,1062961.0
4136,Aisle,True,1146,TEXTURED SWEATER NAVY #3,1146.0,t-shirts,WOMAN,Autumn,Wool Blend,Spain,1313316.0
4137,End-cap,True,1632,ASYMMETRIC CROPPED KNIT SWEATER SAND,1632.0,jackets,MAN,Winter,Polyester,Bangladesh,2663424.0
4138,Aisle,True,1362,CROPPED DENIM SHIRT SKY BLUE,1362.0,shoes,MAN,Spring,Linen,Vietnam,1855044.0
4139,Aisle,True,1311,STRUCTURED CONTRAST JACQUARD JACKET NAVY,1311.0,sweaters,MAN,Autumn,Wool Blend,Morocco,1718721.0
4140,Front of Store,True,906,CROPPED SUEDE RETRO SNEAKERS BEIGE,906.0,shoes,WOMAN,Autumn,Wool Blend,Bangladesh,820836.0
4141,Aisle,True,1638,EMBROIDERED STRIPED TEXTURED OVERSHIRT TAUPE,1638.0,jackets,WOMAN,Winter,Wool,Bangladesh,2683044.0
4142,Aisle,True,1317,PLEATED BRAIDED COLOR BLOCK SWEATER OLIVE,1317.0,jackets,MAN,Winter,Acrylic,Brazil,1734489.0
4143,End-cap,True,818,VISCOSE BLEND KNIT T-SHIRT OLIVE,818.0,t-shirts,WOMAN,Spring,Cotton,Cambodia,669124.0
4144,Front of Store,True,1759,TEXT T-SHIRT STONE,1759.0,sweaters,WOMAN,Summer,Cotton,China,3094081.0
4145,End-cap,True,670,RELAXED VINTAGE EFFECT LEATHER BOMBER JACKET NAVY,670.0,t-shirts,WOMAN,Autumn,Cotton,India,448900.0
4146,End-cap,True,1606,QUILTED KNIT SWEATER WITH PEARLS IVORY,1606.0,jackets,WOMAN,Winter,Wool Blend,Morocco,2579236.0
4147,Aisle,True,881,CROPPED POCKET DENIM OVERSHIRT WHITE,881.0,jackets,WOMAN,Autumn,Wool,Morocco,776161.0
4148,Aisle,True,906,OVERSIZED ALPACA AND WOOL BLEND TIE DYE KNIT SWEATER SAND,906.0,jackets,MAN,Autumn,Wool Blend,China,820836.0
4149,End-cap,True,1254,TEXTURED DOUBLE FACED JACKET,1254.0,sweaters,MAN,Autumn,Acrylic,Turkey,1572516.0
4150,Front of Store,True,764,UTILITY PUFFER JACKET WITH POUCH POCKET OLIVE,764.0,t-shirts,WOMAN,Autumn,Wool Blend,Argentina,583696.0
4151,End-cap,True,1065,TEXTURED POCKET OVERSHIRT STONE,1065.0,shoes,WOMAN,Summer,Linen,Turkey,1134225.0
4152,End-cap,True,1172,RELAXED FLEECE BOMBER JACKET CHARCOAL,1172.0,sweaters,MAN,Winter,Denim,Morocco,1373584.0
4153,End-cap,True,716,EMBROIDERED PRINTED DENIM OVERSHIRT SAND,716.0,jackets,MAN,Autumn,Denim,Brazil,512656.0
4154,Front of Store,True,842,BELTED PRINTED DENIM OVERSHIRT SAND,842.0,shoes,WOMAN,Spring,Cotton,Cambodia,708964.0
4155,Front of Store,True,1277,RELAXED TASSEL LEATHER LOAFERS ECRU,1277.0,shoes,MAN,Spring,Cotton,Turkey,1630729.0
4156,Front of Store,True,888,STRETCH ALPACA AND WOOL BLEND TIE DYE KNIT SWEATER KHAKI,888.0,jackets,MAN,Autumn,Wool,Bangladesh,788544.0
4157,Front of Store,True,904,STRETCH CONTRASTING PATCHES HOODED JACKET GREY,904.0,jackets,WOMAN,Autumn,Wool Blend,China,817216.0
4158,Front of Store,True,1325,EMBROIDERED QUILTED STRUCTURED OVERSHIRT BROWN,1325.0,shoes,MAN,Spring,Cotton,China,1755625.0
4159,End-cap,True,1743,LINEN COTTON OVERSHIRT,1743.0,jackets,WOMAN,Summer,Cotton,Cambodia,3038049.0
4160,End-cap,True,714,PRINTED DENIM OVERSHIRT BLACK,714.0,jackets,MAN,Spring,Linen,Brazil,509796.0
4161,Front of Store,True,864,BELTED STRUCTURED TEXT T-SHIRT STONE,864.0,sweaters,WOMAN,Summer,Cotton,Bangladesh,746496.0
4162,End-cap,True,871,CROPPED FINE KNIT SWEATER TAUPE,871.0,shoes,MAN,Autumn,Wool,China,758641.0
4163,Front of Store,True,860,PLEATED JACQUARD DENIM JACKET NAVY,860.0,jackets,WOMAN,Summer,Cotton,Pakistan,739600.0
4164,Front of Store,True,804,STRUCTURED ASYMMETRIC CROPPED KNIT SWEATER TAUPE,804.0,jackets,WOMAN,Autumn,Wool,China,646416.0
4165,Front of Store,True,1361,CROPPED OVERSIZED CROPPED JACKET LIMITED EDITION KHAKI,1361.0,sweaters,MAN,Autumn,Viscose,India,1852321.0
4166,End-cap,True,1345,STRUCTURED CABLE KNIT METALLIC SWEATER KHAKI,1345.0,jackets,MAN,Autumn,Wool Blend,India,1809025.0
4167,Aisle,True,1293,STRAIGHT SUIT JACKET WHITE,1293.0,shoes,MAN,Spring,Polyester,Bangladesh,1671849.0
4168,Front of Store,True,915,TEXTURED EMBROIDERED FOREST JACKET IVORY,915.0,sweaters,MAN,Winter,Viscose,India,837225.0
4169,Aisle,True,856,SLIM CROPPED LEATHER JACKET KHAKI,856.0,jackets,WOMAN,Spring,Linen,China,732736.0
4170,End-cap,True,1035,QUILTED CONTRASTING PATCHES BOMBER JACKET KHAKI,1035.0,jackets,WOMAN,Winter,Wool Blend,China,1071225.0
4171,Front of Store,True,872,RIBBED SLIM FIT SUIT JACKET BEIGE,872.0,sweaters,WOMAN,Spring,Cotton,Spain,760384.0
4172,End-cap,True,1366,UTILITY TEXTURED JACKET CHARCOAL,1366.0,jackets,WOMAN,Autumn,Cotton,Pakistan,1865956.0
4173,End-cap,True,1525,HIGH-WAIST SUEDE PENNY LOAFERS CHARCOAL,1525.0,sweaters,WOMAN,Summer,Linen,Pakistan,2325625.0
4174,End-cap,True,1041,SLIM WOOL BLEND FELT TEXTURE JACKET CHARCOAL,1041.0,t-shirts,MAN,Winter,Acrylic,Turkey,1083681.0
4175,Aisle,True,876,UTILITY COTTON OVERSHIRT BEIGE,876.0,jackets,MAN,Summer,Cotton,China,767376.0
4176,Aisle,True,904,SUEDE HIGH-TOPS BLACK,904.0,shoes,WOMAN,Autumn,Polyester,China,817216.0
4177,End-cap,True,1368,TEXTURED WAXED EFFECT PLAID JACKET ECRU,1368.0,jackets,MAN,Winter,Polyester,China,1871424.0
4178,Aisle,True,840,QUILTED FLEECE BOMBER JACKET WHITE,840.0,sweaters,MAN,Winter,Wool,Bangladesh,705600.0
4179,Aisle,True,948,PLEATED V-NECK KNIT SWEATER WHITE,948.0,jackets,MAN,Winter,Wool,Cambodia,898704.0
4180,Aisle,True,1167,RELAXED TEXTURED JACKET IVORY,1167.0,sweaters,WOMAN,Autumn,Polyester,Bangladesh,1361889.0
4181,End-cap,True,852,PLEATED EMBROIDERED FOREST JACKET CHARCOAL,852.0,jackets,MAN,Spring,Viscose,Vietnam,725904.0
4182,End-cap,True,1579,PLEATED KNIT PEARL SWEATER BROWN,1579.0,sweaters,WOMAN,Winter,Wool,Turkey,2493241.0
4183,Aisle,True,898,DOUBLE-BREASTED HOODED DENIM JACKET NAVY,898.0,t-shirts,WOMAN,Summer,Denim,Bangladesh,806404.0
4184,Front of Store,True,1196,PATCH BOMBER JACKET OLIVE,1196.0,shoes,MAN,Autumn,Wool Blend,Bangladesh,1430416.0
4185,Aisle,True,1313,PLEATED FLARED FIT CARGO JEANS BROWN,1313.0,sweaters,WOMAN,Summer,Linen,Bangladesh,1723969.0
4186,End-cap,True,1365,STRUCTURED POCKET DENIM JACKET SAND,1365.0,t-shirts,MAN,Spring,Cotton,Bangladesh,1863225.0
4187,Front of Store,True,903,DOUBLE-BREASTED TEXTURED POCKET OVERSHIRT TAUPE,903.0,jackets,WOMAN,Winter,Polyester,China,815409.0
4188,End-cap,True,980,CROPPED BASIC SLIM FIT T-SHIRT KHAKI,980.0,t-shirts,WOMAN,Summer,Linen Blend,Bangladesh,960400.0
4189,End-cap,True,820,QUILTED PUFFER JACKET WITH POUCH POCKET WHITE,820.0,jackets,MAN,Autumn,Wool Blend,Vietnam,672400.0
4190,End-cap,True,1287,TEXTURED RETRO SNEAKERS BROWN,1287.0,t-shirts,WOMAN,Autumn,Polyester,Vietnam,1656369.0
4191,End-cap,True,1442,UTILITY STRETCH POCKET OVERSHIRT BEIGE,1442.0,t-shirts,WOMAN,Autumn,Polyester,Brazil,2079364.0
4192,Front of Store,True,857,BOXY FIT DENIM JACKET SAND,857.0,jackets,WOMAN,Autumn,Denim,China,734449.0
4193,End-cap,True,1062,MULTICOLOR SNEAKERS TAUPE,1062.0,jackets,WOMAN,Winter,Cotton,Morocco,1127844.0
4194,Aisle,True,690,HIGH-WAIST LIGHTWEIGHT BOMBER JACKET BLACK,690.0,shoes,MAN,Spring,Wool Blend,China,476100.0
4195,Front of Store,True,836,TEXTURED POCKET JACKET NAVY,836.0,jackets,MAN,Summer,Linen,Bangladesh,698896.0
4196,Front of Store,True,1436,CROPPED TEXTURED POCKET JACKET BURGUNDY,1436.0,jackets,MAN,Spring,Polyester,Pakistan,2062096.0
4197,End-cap,True,872,QUILTED PLEATED WIDE FIT JEANS WHITE,872.0,t-shirts,WOMAN,Autumn,Denim,India,760384.0
4198,Aisle,True,1034,WOOL AND CASHMERE BLEND RIB SWEATER,1034.0,jackets,WOMAN,Winter,Acrylic,Vietnam,1069156.0
4199,End-cap,True,943,PLEATED BASIC SLIM FIT T-SHIRT OLIVE,943.0,sweaters,MAN,Summer,Linen Blend,Argentina,889249.0
